path,state,coordinate,relative_E
./S000/variant_01,S000,0,0
./S001/variant_02,S001,1,-0.559381781
./S002/variant_02,S002,2,-0.662193562
./S100/variant_03,S100,1,0.8747715
./S101/variant_03,S101,2,-0.042770281
./S102/variant_01,S102,3,-0.428292062
./S110/variant_01,S110,2,0.81895525
./S111/variant_01,S111,3,0.394263469
./S112/variant_01,S112,4,0.276561688
./S200/variant_02,S200,2,2.608293
./S201/variant_03,S201,3,0.903781219
./S202/variant_01,S202,4,-0.552170563
./S210/variant_01,S210,3,0.36280675
./S211/variant_01,S211,4,-0.569665031
./S212/variant_02,S212,5,-0.524106812
./S220/variant_01,S220,4,0.7371605
./S221/variant_01,S221,5,-0.214261281
./S222/variant_01,S222,6,0.242736938
./S300/variant_01,S300,3,3.3444845
./S301/variant_01,S301,4,2.745682719
./S302/variant_01,S302,5,-0.095339063
./S310/variant_03,S310,4,0.92386825
./S311/variant_03,S311,5,0.045126469
./S312/variant_03,S312,6,0.632974688
./S320/variant_02,S320,5,0.597862
./S321/variant_03,S321,6,-0.277749781
./S322/variant_01,S322,7,-1.825221562
