surface,region,path_id,grid_points,mu_MnOH2_min_eV,mu_MnOH2_max_eV,mu_H2O_min_eV,mu_H2O_max_eV,states,mechanisms
011,R008,P02721,5,-0.05,0,-0.65,-0.45,S000 -> S001 -> S002 -> S102 -> S202 -> S312 -> S422 -> S423 -> S424 -> S434 -> S534 -> S644,SR -> SR -> OL -> OL -> OX -> OX -> SR -> SR -> C -> OL -> OX
011,R009,P02725,4,0,0,-0.6,-0.45,S000 -> S001 -> S002 -> S102 -> S202 -> S312 -> S422 -> S423 -> S424 -> S524 -> S534 -> S644,SR -> SR -> OL -> OL -> OX -> OX -> SR -> SR -> OL -> C -> OX
011,R010,P03778,413,-0.3,0,-4,-0.95,S000 -> S001 -> S002 -> S112 -> S212 -> S222 -> S322 -> S323 -> S324 -> S434 -> S534 -> S544 -> S644,SR -> SR -> OX -> OL -> C -> OL -> SR -> SR -> OX -> OL -> C -> OL
011,R011,P03989,49,-0.3,0,-1.2,-0.75,S000 -> S001 -> S002 -> S112 -> S212 -> S222 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,SR -> SR -> OX -> OL -> C -> OL -> OX -> SR -> SR -> OL -> C -> OL
011,R012,P04429,364,-0.65,-0.35,-4,-1.3,S000 -> S001 -> S002 -> S112 -> S212 -> S322 -> S323 -> S324 -> S434 -> S534 -> S544 -> S644,SR -> SR -> OX -> OL -> OX -> SR -> SR -> OX -> OL -> C -> OL
011,R013,P04640,192,-1.15,-0.35,-1.55,-0.75,S000 -> S001 -> S002 -> S112 -> S212 -> S322 -> S432 -> S433 -> S434 -> S534 -> S544 -> S644,SR -> SR -> OX -> OL -> OX -> OX -> SR -> SR -> OL -> C -> OL
011,R014,P06106,4,-1.85,-1.7,-0.45,-0.4,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S222 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,SR -> OL -> SR -> OL -> C -> C -> OL -> SR -> OL -> SR -> C -> OL -> OX
011,R015,P06755,73,-2.85,-2.1,-1,-0.55,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S544 -> S644,SR -> OL -> SR -> OL -> C -> OX -> SR -> OL -> SR -> C -> OL -> C -> OL
011,R016,P06757,19,-2.05,-1.8,-0.75,-0.5,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S534 -> S644,SR -> OL -> SR -> OL -> C -> OX -> SR -> OL -> SR -> C -> OL -> OX
011,R017,P06758,14,-2.3,-2.1,-1,-0.8,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S424 -> S434 -> S544 -> S644,SR -> OL -> SR -> OL -> C -> OX -> SR -> OL -> SR -> C -> OX -> OL
011,R018,P06764,60,-3.2,-2.4,-1.25,-1.05,S000 -> S001 -> S101 -> S102 -> S202 -> S212 -> S322 -> S323 -> S423 -> S424 -> S534 -> S544 -> S644,SR -> OL -> SR -> OL -> C -> OX -> SR -> OL -> SR -> OX -> C -> OL
