    0     0 
    1     1 
    2     2 
    3     3 
    4     4 
    5     5 
    6     6 
    7     7 
    8     8 
    9     9 
   10    10 
   11    11 
   12    12 
   40    14 
   13    15 
   14    16 
   15    17 
   16    18 
   17    19 
   18    20 
   19    21 
   20    22 
   21    23 
   22    24 
   23    25 
   24    26 
   25    27 
   26    28 
   27    29 
   28    30 
   29    31 
   30    32 
   31    33 
   32    34 
   33    37 
   41    38 
   42    39 
   34    40 
   35    41 
   36    42 
   37    13 
   38    35 
   39    36 
   43    43 
   44    44 
   45    45 
