sequence_id,sequence,state_path
31,OOCXXCO,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 1, 2) -> S(2, 2, 2) -> S(3, 2, 2)
32,OOCXXOC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 1, 0) -> S(2, 1, 1) -> S(2, 1, 2) -> S(3, 1, 2) -> S(3, 2, 2)
33,OOOCCXX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 1, 0) -> S(3, 2, 0) -> S(3, 2, 1) -> S(3, 2, 2)
34,OOOCXCX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 1, 0) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
35,OOOCXXC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 1, 0) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
36,OOOXCCX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
37,OOOXCXC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 0, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
38,OOOXXCC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(3, 0, 0) -> S(3, 0, 1) -> S(3, 0, 2) -> S(3, 1, 2) -> S(3, 2, 2)
39,OOXCCOX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(3, 2, 1) -> S(3, 2, 2)
40,OOXCCXO,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(2, 2, 1) -> S(2, 2, 2) -> S(3, 2, 2)
41,OOXCOCX,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 2, 1) -> S(3, 2, 2)
42,OOXCOXC,S(0, 0, 0) -> S(1, 0, 0) -> S(2, 0, 0) -> S(2, 0, 1) -> S(2, 1, 1) -> S(3, 1, 1) -> S(3, 1, 2) -> S(3, 2, 2)
