    0     0 
    1     1 
    2     2 
    3     3 
    4     4 
    5     5 
    6     6 
    7     7 
    8     8 
    9     9 
   10    10 
   11    11 
   12    12 
   39    15 
   40    16 
   13    17 
   14    18 
   15    19 
   16    20 
   17    21 
   18    22 
   19    23 
   20    24 
   21    25 
   22    26 
   23    27 
   24    28 
   25    29 
   26    30 
   27    31 
   28    32 
   29    33 
   30    34 
   31    35 
   32    38 
   33    39 
   41    40 
   43    41 
   34    42 
   35    13 
   36    14 
   37    36 
   38    43 
   42    37 
   44    44 
