state,variant,path,formula,atom_count,selected_sites,added_o_count,added_h_count,removed_slab_h_indices
S220,variant_02,generated_state_inputs/S220/variant_02,H8Mn14O22,44,2 3,2,2,37 38
S220,variant_03,generated_state_inputs/S220/variant_03,H8Mn14O22,44,3 1,2,2,37 39
S221,variant_01,generated_state_inputs/S221/variant_01,H7Mn14O22,43,1 2,2,2,36 37 38
S221,variant_02,generated_state_inputs/S221/variant_02,H7Mn14O22,43,2 3,2,2,37 38 39
S221,variant_03,generated_state_inputs/S221/variant_03,H7Mn14O22,43,3 1,2,2,36 37 39
S222,variant_01,generated_state_inputs/S222/variant_01,H6Mn14O22,42,1 2,2,2,36 37 38 39
S222,variant_02,generated_state_inputs/S222/variant_02,H6Mn14O22,42,2 3,2,2,36 37 38 39
S222,variant_03,generated_state_inputs/S222/variant_03,H6Mn14O22,42,3 1,2,2,36 37 38 39
S300,variant_01,generated_state_inputs/S300/variant_01,H14Mn15O26,55,1 2 3,6,6,
S300,variant_02,generated_state_inputs/S300/variant_02,H14Mn15O26,55,2 3 1,6,6,
S300,variant_03,generated_state_inputs/S300/variant_03,H14Mn15O26,55,3 1 2,6,6,
S301,variant_01,generated_state_inputs/S301/variant_01,H13Mn15O26,54,1 2 3,6,6,36
S301,variant_02,generated_state_inputs/S301/variant_02,H13Mn15O26,54,2 3 1,6,6,38
S301,variant_03,generated_state_inputs/S301/variant_03,H13Mn15O26,54,3 1 2,6,6,37
S302,variant_01,generated_state_inputs/S302/variant_01,H12Mn15O26,53,1 2 3,6,6,36 38
S302,variant_02,generated_state_inputs/S302/variant_02,H12Mn15O26,53,2 3 1,6,6,37 38
S302,variant_03,generated_state_inputs/S302/variant_03,H12Mn15O26,53,3 1 2,6,6,37 39
S310,variant_01,generated_state_inputs/S310/variant_01,H12Mn15O25,52,1 2 3,5,5,36
S310,variant_02,generated_state_inputs/S310/variant_02,H12Mn15O25,52,2 3 1,5,5,38
S310,variant_03,generated_state_inputs/S310/variant_03,H12Mn15O25,52,3 1 2,5,5,37
S311,variant_01,generated_state_inputs/S311/variant_01,H11Mn15O25,51,1 2 3,5,5,36 38
S311,variant_02,generated_state_inputs/S311/variant_02,H11Mn15O25,51,2 3 1,5,5,37 38
S311,variant_03,generated_state_inputs/S311/variant_03,H11Mn15O25,51,3 1 2,5,5,37 39
S312,variant_01,generated_state_inputs/S312/variant_01,H10Mn15O25,50,1 2 3,5,5,36 37 38
S312,variant_02,generated_state_inputs/S312/variant_02,H10Mn15O25,50,2 3 1,5,5,37 38 39
S312,variant_03,generated_state_inputs/S312/variant_03,H10Mn15O25,50,3 1 2,5,5,36 37 39
S320,variant_01,generated_state_inputs/S320/variant_01,H10Mn15O24,49,1 2 3,4,4,36 38
S320,variant_02,generated_state_inputs/S320/variant_02,H10Mn15O24,49,2 3 1,4,4,37 38
S320,variant_03,generated_state_inputs/S320/variant_03,H10Mn15O24,49,3 1 2,4,4,37 39
S321,variant_01,generated_state_inputs/S321/variant_01,H9Mn15O24,48,1 2 3,4,4,36 37 38
S321,variant_02,generated_state_inputs/S321/variant_02,H9Mn15O24,48,2 3 1,4,4,37 38 39
S321,variant_03,generated_state_inputs/S321/variant_03,H9Mn15O24,48,3 1 2,4,4,36 37 39
S322,variant_01,generated_state_inputs/S322/variant_01,H8Mn15O24,47,1 2 3,4,4,36 37 38 39
S322,variant_02,generated_state_inputs/S322/variant_02,H8Mn15O24,47,2 3 1,4,4,36 37 38 39
S322,variant_03,generated_state_inputs/S322/variant_03,H8Mn15O24,47,3 1 2,4,4,36 37 38 39
