state,variant,path,formula,atom_count,selected_sites,added_o_count,added_h_count,removed_slab_h_indices
S000,variant_01,generated_state_inputs/S000/variant_01,H8Mn12O20,40,,0,0,
S000,variant_02,generated_state_inputs/S000/variant_02,H8Mn12O20,40,,0,0,
S000,variant_03,generated_state_inputs/S000/variant_03,H8Mn12O20,40,,0,0,
S001,variant_01,generated_state_inputs/S001/variant_01,H7Mn12O20,39,,0,0,36
S001,variant_02,generated_state_inputs/S001/variant_02,H7Mn12O20,39,,0,0,38
S001,variant_03,generated_state_inputs/S001/variant_03,H7Mn12O20,39,,0,0,37
S002,variant_01,generated_state_inputs/S002/variant_01,H6Mn12O20,38,,0,0,36 38
S002,variant_02,generated_state_inputs/S002/variant_02,H6Mn12O20,38,,0,0,37 38
S002,variant_03,generated_state_inputs/S002/variant_03,H6Mn12O20,38,,0,0,37 39
S100,variant_01,generated_state_inputs/S100/variant_01,H10Mn13O22,45,1,2,2,
S100,variant_02,generated_state_inputs/S100/variant_02,H10Mn13O22,45,2,2,2,
S100,variant_03,generated_state_inputs/S100/variant_03,H10Mn13O22,45,3,2,2,
S101,variant_01,generated_state_inputs/S101/variant_01,H9Mn13O22,44,1,2,2,36
S101,variant_02,generated_state_inputs/S101/variant_02,H9Mn13O22,44,2,2,2,38
S101,variant_03,generated_state_inputs/S101/variant_03,H9Mn13O22,44,3,2,2,37
S102,variant_01,generated_state_inputs/S102/variant_01,H8Mn13O22,43,1,2,2,36 38
S102,variant_02,generated_state_inputs/S102/variant_02,H8Mn13O22,43,2,2,2,37 38
S102,variant_03,generated_state_inputs/S102/variant_03,H8Mn13O22,43,3,2,2,37 39
S110,variant_01,generated_state_inputs/S110/variant_01,H8Mn13O21,42,1,1,1,36
S110,variant_02,generated_state_inputs/S110/variant_02,H8Mn13O21,42,2,1,1,38
S110,variant_03,generated_state_inputs/S110/variant_03,H8Mn13O21,42,3,1,1,37
S111,variant_01,generated_state_inputs/S111/variant_01,H7Mn13O21,41,1,1,1,36 38
S111,variant_02,generated_state_inputs/S111/variant_02,H7Mn13O21,41,2,1,1,37 38
S111,variant_03,generated_state_inputs/S111/variant_03,H7Mn13O21,41,3,1,1,37 39
S112,variant_01,generated_state_inputs/S112/variant_01,H6Mn13O21,40,1,1,1,36 37 38
S112,variant_02,generated_state_inputs/S112/variant_02,H6Mn13O21,40,2,1,1,37 38 39
S112,variant_03,generated_state_inputs/S112/variant_03,H6Mn13O21,40,3,1,1,36 37 39
S200,variant_01,generated_state_inputs/S200/variant_01,H12Mn14O24,50,1 2,4,4,
S200,variant_02,generated_state_inputs/S200/variant_02,H12Mn14O24,50,2 3,4,4,
S200,variant_03,generated_state_inputs/S200/variant_03,H12Mn14O24,50,3 1,4,4,
S201,variant_01,generated_state_inputs/S201/variant_01,H11Mn14O24,49,1 2,4,4,36
S201,variant_02,generated_state_inputs/S201/variant_02,H11Mn14O24,49,2 3,4,4,38
S201,variant_03,generated_state_inputs/S201/variant_03,H11Mn14O24,49,3 1,4,4,37
S202,variant_01,generated_state_inputs/S202/variant_01,H10Mn14O24,48,1 2,4,4,36 38
S202,variant_02,generated_state_inputs/S202/variant_02,H10Mn14O24,48,2 3,4,4,37 38
S202,variant_03,generated_state_inputs/S202/variant_03,H10Mn14O24,48,3 1,4,4,37 39
S210,variant_01,generated_state_inputs/S210/variant_01,H10Mn14O23,47,1 2,3,3,36
S210,variant_02,generated_state_inputs/S210/variant_02,H10Mn14O23,47,2 3,3,3,38
S210,variant_03,generated_state_inputs/S210/variant_03,H10Mn14O23,47,3 1,3,3,37
S211,variant_01,generated_state_inputs/S211/variant_01,H9Mn14O23,46,1 2,3,3,36 38
S211,variant_02,generated_state_inputs/S211/variant_02,H9Mn14O23,46,2 3,3,3,37 38
S211,variant_03,generated_state_inputs/S211/variant_03,H9Mn14O23,46,3 1,3,3,37 39
S212,variant_01,generated_state_inputs/S212/variant_01,H8Mn14O23,45,1 2,3,3,36 37 38
S212,variant_02,generated_state_inputs/S212/variant_02,H8Mn14O23,45,2 3,3,3,37 38 39
S212,variant_03,generated_state_inputs/S212/variant_03,H8Mn14O23,45,3 1,3,3,36 37 39
S220,variant_01,generated_state_inputs/S220/variant_01,H8Mn14O22,44,1 2,2,2,36 38
